Name                  	Team 	Pos 	G  	A   	P   	TeamModifier 	Modifier
Artemi Panarin        	NYR  	F   	49 	 71 	120 	      1.8690 	     224
Connor McDavid        	EDM  	F   	32 	100 	132 	      1.3300 	     176
Nathan MacKinnon      	COL  	F   	51 	 89 	140 	      1.0450 	     146
Vincent Trocheck      	NYR  	F   	25 	 52 	 77 	      1.8690 	     144
Leon Draisaitl        	EDM  	F   	41 	 65 	106 	      1.3300 	     141
Chris Kreider         	NYR  	F   	39 	 36 	 75 	      1.8690 	     140
Sebastian Aho         	CAR  	F   	36 	 53 	 89 	      1.5550 	     138
Mika Zibanejad        	NYR  	F   	26 	 46 	 72 	      1.8690 	     135
J.T. Miller           	VAN  	F   	37 	 66 	103 	      1.2170 	     125
Jake Guentzel         	CAR  	F   	30 	 47 	 77 	      1.5550 	     120
Auston Matthews       	TOR  	F   	69 	 38 	107 	      1.1020 	     118
Sam Reinhart          	FLA  	F   	57 	 37 	 94 	      1.2210 	     115
Mikko Rantanen        	COL  	F   	42 	 62 	104 	      1.0450 	     109
William Nylander      	TOR  	F   	40 	 58 	 98 	      1.1020 	     108
Elias Pettersson      	VAN  	F   	34 	 55 	 89 	      1.2170 	     108
Matthew Tkachuk       	FLA  	F   	26 	 62 	 88 	      1.2210 	     107
Alexis Lafrenière     	NYR  	F   	28 	 29 	 57 	      1.8690 	     107
Seth Jarvis           	CAR  	F   	33 	 34 	 67 	      1.5550 	     104
Zach Hyman            	EDM  	F   	54 	 23 	 77 	      1.3300 	     102
Nikita Kucherov       	TBL  	F   	44 	100 	144 	      0.6910 	     100
Aleksander Barkov     	FLA  	F   	23 	 57 	 80 	      1.2210 	      98
Mitchell Marner       	TOR  	F   	26 	 59 	 85 	      1.1020 	      94
Brock Boeser          	VAN  	F   	40 	 33 	 73 	      1.2170 	      89
Ryan Nugent-Hopkins   	EDM  	F   	18 	 49 	 67 	      1.3300 	      89
Carter Verhaeghe      	FLA  	F   	34 	 38 	 72 	      1.2210 	      88
Jason Robertson       	DAL  	F   	29 	 51 	 80 	      1.0670 	      85
David Pastrnak        	BOS  	F   	47 	 63 	110 	      0.7490 	      82
Teuvo Teräväinen      	CAR  	F   	25 	 28 	 53 	      1.5550 	      82
Martin Necas          	CAR  	F   	24 	 29 	 53 	      1.5550 	      82
Andrei Svechnikov     	CAR  	F   	19 	 33 	 52 	      1.5550 	      81
John Tavares          	TOR  	F   	29 	 36 	 65 	      1.1020 	      72
Filip Forsberg        	NSH  	F   	48 	 46 	 94 	      0.7510 	      71
Joe Pavelski          	DAL  	F   	27 	 40 	 67 	      1.0670 	      71
Wyatt Johnston        	DAL  	F   	32 	 33 	 65 	      1.0670 	      69
Roope Hintz           	DAL  	F   	30 	 35 	 65 	      1.0670 	      69
Matt Duchene          	DAL  	F   	25 	 40 	 65 	      1.0670 	      69
Adam Henrique         	EDM  	F   	24 	 27 	 51 	      1.3300 	      68
Vladimir Tarasenko    	FLA  	F   	23 	 32 	 55 	      1.2210 	      67
Jonathan Marchessault 	VGK  	F   	42 	 27 	 69 	      0.9420 	      65
Jack Eichel           	VGK  	F   	31 	 37 	 68 	      0.9420 	      64
Jamie Benn            	DAL  	F   	21 	 39 	 60 	      1.0670 	      64
Brayden Point         	TBL  	F   	46 	 44 	 90 	      0.6910 	      62
